Kode,Nama Emiten,Tanggal IPO,Tahun,Kode_YFinance
SAGE,PT Saptausaha Gemilangindah Tbk,2023-03-08,2023,SAGE.JK
TRON,PT Teknologi Karya Digital Nusa Tbk.,2023-03-08,2023,TRON.JK
CUAN,PT Petrindo Jaya Kreasi Tbk,2023-03-08,2023,CUAN.JK
NSSS,PT Nusantara Sawit Sejahtera Tbk,2023-03-10,2023,NSSS.JK
GTRA,PT Grahaprima Suksesmandiri Tbk,2023-03-30,2023,GTRA.JK
HAJJ,PT Arsy Buana Travelindo Tbk,2023-04-05,2023,HAJJ.JK
PIPA,PT Multi Makmur Lemindo Tbk.,2023-04-10,2023,PIPA.JK
NCKL,PT Trimegah Bangun Persada Tbk.,2023-04-12,2023,NCKL.JK
MENN,PT Menn Teknologi Indonesia Tbk.,2023-04-18,2023,MENN.JK
AWAN,PT Era Digital Media Tbk,2023-04-18,2023,AWAN.JK
RAAM,PT Tripar Multivision Plus Tbk.,2023-05-08,2023,RAAM.JK
DOOH,PT Era Media Sejahtera Tbk,2023-05-08,2023,DOOH.JK
JATI,PT Informasi Teknologi Indonesia Tbk.,2023-05-08,2023,JATI.JK
TYRE,PT King Tire Indonesia Tbk.,2023-05-08,2023,TYRE.JK
MPXL,PT MPX Logistics International Tbk,2023-05-09,2023,MPXL.JK
SMIL,PT Sarana Mitra Luas Tbk,2023-05-12,2023,SMIL.JK
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,2023-06-12,2023,KLAS.JK
MAXI,PT Maxindo Karya Anugerah Tbk,2023-06-12,2023,MAXI.JK
VKTR,PT VKTR Teknologi Mobilitas Tbk,2023-06-19,2023,VKTR.JK
RELF,PT Graha Mitra Asia Tbk.,2023-06-22,2023,RELF.JK
AMMN,PT Amman Mineral Internasional Tbk.,2023-07-07,2023,AMMN.JK
CRSN,PT Carsurin Tbk,2023-07-10,2023,CRSN.JK
GRPM,PT Graha Prima Mentari Tbk.,2023-07-10,2023,GRPM.JK
WIDI,PT Widiant Jaya Krenindo Tbk.,2023-07-10,2023,WIDI.JK
TGUK,PT Platinum Wahab Nusantara Tbk.,2023-07-10,2023,TGUK.JK
INET,PT Sinergi Inti Andalan Prima Tbk.,2023-07-24,2023,INET.JK
MAHA,PT Mandiri Herindo Adiperkasa Tbk,2023-07-25,2023,MAHA.JK
RMKO,PT Royaltama Mulia Kontraktorindo Tbk.,2023-07-31,2023,RMKO.JK
CNMA,PT Nusantara Sejahtera Raya Tbk,2023-08-02,2023,CNMA.JK
FOLK,PT Multi Garam Utama Tbk.,2023-08-07,2023,FOLK.JK
HBAT,PT Minahasa Membangun Hebat Tbk,2023-08-07,2023,HBAT.JK
GRIA,PT Ingria Pratama Capitalindo Tbk,2023-08-08,2023,GRIA.JK
PPRI,PT Paperocks Indonesia Tbk.,2023-08-08,2023,PPRI.JK
ERAL,PT Sinar Eka Selaras Tbk,2023-08-08,2023,ERAL.JK
CYBR,PT ITSEC Asia Tbk.,2023-08-08,2023,CYBR.JK
MUTU,PT Mutuagung Lestari Tbk,2023-08-09,2023,MUTU.JK
LMAX,PT Lupromax Pelumas Indonesia Tbk.,2023-08-09,2023,LMAX.JK
HUMI,PT Humpuss Maritim Internasional Tbk,2023-08-09,2023,HUMI.JK
MSIE,PT Multisarana Intan Eduka Tbk,2023-08-10,2023,MSIE.JK
RSCH,PT Charlie Hospital Semarang Tbk.,2023-08-28,2023,RSCH.JK
BABY,PT Multitrend Indo Tbk.,2023-09-07,2023,BABY.JK
AEGS,PT Anugerah Spareparts Sejahtera Tbk.,2023-09-11,2023,AEGS.JK
IOTF,PT Sumber Sinergi Makmur Tbk,2023-10-06,2023,IOTF.JK
KOCI,PT Kokoh Exa Nusantara,2023-10-07,2023,KOCI.JK
PTPS,PT Pulau Subur Tbk.,2023-10-09,2023,PTPS.JK
BREN,PT Barito Renewables Energy Tbk.,2023-10-09,2023,BREN.JK
STRK,PT Lovina Beach Brewery Tbk.,2023-10-10,2023,STRK.JK
KOKA,PT Koka Indonesia Tbk.,2023-10-11,2023,KOKA.JK
LOPI,PT Logisticsplus International Tbk,2023-10-11,2023,LOPI.JK
UDNG,PT Agro Bahari Nusantara Tbk,2023-10-31,2023,UDNG.JK
RGAS,PT Kian Santang Muliatama Tbk.,2023-11-08,2023,RGAS.JK
MSTI,PT Mastersystem Infotama Tbk.,2023-11-08,2023,MSTI.JK
IKPM,PT Ikapharmindo Putramas Tbk.,2023-11-08,2023,IKPM.JK
AYAM,PT Janu Putra Sejahtera Tbk.,2023-11-30,2023,AYAM.JK
SURI,PT Maja Agung Latexindo Tbk.,2023-12-07,2023,SURI.JK
ASLI,PT Asri Karya Lestari Tbk.,2024-01-05,2024,ASLI.JK
CGAS,PT Citra Nusantara Gemilang Tbk.,2024-01-08,2024,CGAS.JK
NICE,PT Adhi Kartiko Pratama Tbk,2024-01-09,2024,NICE.JK
MSJA,PT Multi Spunindo Jaya Tbk.,2024-01-10,2024,MSJA.JK
SMLE,PT Sinergi Multi Lestarindo Tbk,2024-01-10,2024,SMLE.JK
ACRO,PT Samcro Hyosung Adilestari Tbk.,2024-01-11,2024,ACRO.JK
MANG,PT Manggung Polahraya Tbk,2024-01-11,2024,MANG.JK
GRPH,PT Griptha Putra Persada Tbk.,2024-01-18,2024,GRPH.JK
SMGA,PT Sumber Mineral Global Abadi Tbk,2024-01-30,2024,SMGA.JK
UNTD,PT Terang Dunia Internusa Tbk.,2024-02-07,2024,UNTD.JK
TOSK,PT Topindo Solusi Komunika Tbk.,2024-02-07,2024,TOSK.JK
MPIX,PT Mitra Pedagang Indonesia Tbk.,2024-02-07,2024,MPIX.JK
ALII,PT Ancara Logistics Indonesia Tbk,2024-02-07,2024,ALII.JK
MKAP,PT Multikarya Asia Pasifik Raya Tbk,2024-02-12,2024,MKAP.JK
MEJA,PT Harta Djaya Karya Tbk,2024-02-12,2024,MEJA.JK
LIVE,PT Homeco Victoria Makmur Tbk,2024-02-12,2024,LIVE.JK
HYGN,PT Ecocare Indo Pasifik Tbk.,2024-02-13,2024,HYGN.JK
BAIK,PT Bersama Mencapai Puncak Tbk.,2024-02-15,2024,BAIK.JK
VISI,PT Satu Visi Putra Tbk.,2024-02-27,2024,VISI.JK
AREA,PT Dunia Virtual Online Tbk,2024-04-01,2024,AREA.JK
MHKI,PT Multi Hanna Kreasindo Tbk,2024-04-16,2024,MHKI.JK
ATLA,PT Atlantis Subsea Indonesia Tbk,2024-04-16,2024,ATLA.JK
DATA,PT Remala Abadi Tbk,2024-05-07,2024,DATA.JK
