ticker,sector_name,subsector_name,industry_name,subindustry_name
BEEF,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
BEER,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Keras
BEKS,Keuangan,Bank,Bank,Bank
BELI,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
BELL,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil
BESS,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
BEST,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BFIN,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen
BGTG,Keuangan,Bank,Bank,Bank
BHAT,Keuangan,Asuransi,Asuransi,Asuransi Jiwa
BHIT,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
BIKA,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BIKE,Barang Konsumen Non-Primer,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi
BIMA,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Alas Kaki
BINA,Keuangan,Bank,Bank,Bank
BINO,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor
BIPI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
BIPP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BIRD,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan
BISI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
BJBR,Keuangan,Bank,Bank,Bank
BJTM,Keuangan,Bank,Bank,Bank
BKDP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BKSL,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BKSW,Keuangan,Bank,Bank,Bank
BLES,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi
BLOG,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
BLTA,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
BLTZ,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
BLUE,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor
BMAS,Keuangan,Bank,Bank,Bank
BMBL,Barang Konsumen Non-Primer,Jasa Konsumen,Pendidikan & Jasa Penunjang,Jasa Pendidikan
